time,predators_mean,predators_ci_lower,predators_ci_upper,prey_mean,prey_ci_lower,prey_ci_upper,prey_predator_ratio_mean,prey_predator_ratio_ci_lower,prey_predator_ratio_ci_upper,predator_growth_rate_mean,predator_growth_rate_ci_lower,predator_growth_rate_ci_upper,prey_growth_rate_mean,prey_growth_rate_ci_lower,prey_growth_rate_ci_upper,predator_gender_ratio_mean,predator_gender_ratio_ci_lower,predator_gender_ratio_ci_upper,prey_gender_ratio_mean,prey_gender_ratio_ci_lower,prey_gender_ratio_ci_upper,total_biomass_mean,total_biomass_ci_lower,total_biomass_ci_upper
11.5,13.9,11.923268959475768,15.876731040524232,53.03333333333333,46.7769919209815,59.28967474568516,4.37772050881159,3.583202495715064,5.172238521908117,0.03539370759958995,-0.026221523568842588,0.0970089387680225,-0.06508386434430354,-0.13372670609145842,0.0035589774028513543,1.1508417508417508,0.8063345159695604,1.495348985713941,1.0085147331456583,0.8995960828550029,1.1174333834363137,66.93333333333334,60.50232895298004,73.36433771368664
12.0,14.0,11.82489612867045,16.17510387132955,55.8,49.4114013861116,62.188598613888395,4.5577185907487765,3.8061924064004873,5.309244775097067,0.027921268941193043,-0.07938246284407013,0.13522500072645618,0.06764544324262044,0.0006312428558339078,0.13465964362940697,1.241588319088319,0.8075816765686745,1.675594961607964,1.0249202965663788,0.8942826434346502,1.1555579496981079,69.8,62.63052169923563,76.96947830076437
12.5,14.133333333333333,11.802994022943144,16.46367264372352,58.2,52.93437536183528,63.465624638164726,4.910920965744495,3.9909031211022103,5.83093881038678,0.006356872401764044,-0.04196394275365144,0.05467768755717951,0.07298072642560817,0.008600590130763253,0.13736086272045311,1.2549771524771525,0.800569728322086,1.7093845766322193,1.0587029174658313,0.9276366865583618,1.1897691483733008,72.33333333333333,66.26118485528274,78.40548181138392
13.0,13.566666666666666,11.564959634708437,15.568373698624896,57.4,51.13435383587261,63.66564616412739,4.9449289572083694,3.994965643547593,5.894892270869146,-0.004528947087770621,-0.10246598901327857,0.09340809483773733,-0.014031228749867144,-0.07428196206490996,0.046219504565175665,1.2879497354497356,0.851580544160035,1.724318926739436,1.0473592440551267,0.9085655078452077,1.1861529802650457,70.96666666666667,64.17031889045494,77.7630144428784
13.5,12.933333333333334,10.991984627469702,14.874682039196966,57.733333333333334,50.584988397041705,64.88167826962496,5.24431484516397,4.120112620052954,6.368517070274983,-0.04078717578717579,-0.08052872726680536,-0.0010456243075462196,0.014968605905016474,-0.058992648339015546,0.0889298601490485,1.2396079846079846,0.7830641013163059,1.6961518678996632,0.9888128200407803,0.8774583116767924,1.1001673284047675,70.66666666666667,63.044125298450936,78.2892080348824
14.0,12.233333333333333,10.426015352849983,14.040651313816682,58.833333333333336,51.50291285212635,66.16375381454033,5.436771169443584,4.51523214705815,6.358310191829016,-0.01873866988418072,-0.10186103227355037,0.06438369250518891,0.03505356939768344,-0.04304596646695141,0.11315310526231828,,,,1.0030715259040979,0.8894628818248888,1.116680169983307,71.06666666666666,63.42233210757567,78.71100122575766
14.5,12.333333333333334,10.415907688594192,14.250758978072476,57.53333333333333,51.93289943106191,63.13376723560475,5.3719115633821515,4.405580957785963,6.3382421689783435,0.02638500069534552,-0.06467631014267256,0.1174463115333636,0.014146032325881833,-0.062303420230559854,0.09059548488232351,,,,1.0075109952134875,0.8913093316633814,1.1237126587635933,69.86666666666666,63.829936334794915,75.90339699853841
15.0,12.4,10.346324776272082,14.453675223727918,58.1,51.539159677573195,64.66084032242681,5.376327993901524,4.5570097363491415,6.195646251453906,0.030830375957150807,-0.06812715226721351,0.12978790418151515,0.00669076693199165,-0.03383371599879344,0.04721524986277674,,,,1.0052211857632913,0.8750160747670932,1.13542629675949,70.5,63.142301208340015,77.85769879165998
15.5,12.8,10.940969622720083,14.659030377279919,61.5,54.453392950215004,68.546607049785,5.49184449561048,4.543256150013583,6.440432841207379,0.060689408630585105,-0.025946227438441306,0.14732504469961155,0.09482811509067052,-0.018834246870558652,0.2084904770518997,,,,0.9877617227125075,0.8546230770500772,1.1209003683749377,74.3,66.37330769954502,82.22669230045497
16.0,12.833333333333334,10.980304230987464,14.686362435679204,62.93333333333333,55.0737782395192,70.79288842714746,5.659387203210732,4.605876148016061,6.712898258405404,0.017809757614744827,-0.0603069971241858,0.09592651235367544,0.026377394611293035,-0.02672145294541026,0.07947624216799633,,,,1.0543918691308578,0.8928623196259595,1.215921418635756,75.76666666666667,67.11519420935028,84.41813912398305
